KEM,DS,Avg Latency (ms),Avg Bandwidth (KB),Avg CPU Usage (%),Avg RAM Usage (%)
ffdhe2048,rsa2048,9.97,4.54,79.96,0.152
ffdhe2048,ecdsa_p256,9.67,3.96,86.58,0.155
ffdhe2048,ed25519,9.63,3.9,86.35,0.154
secp256r1,rsa2048,9.43,4.13,85.91,0.156
x25519,rsa2048,9.19,4.13,86.31,0.154
