KEM,DS,Avg Latency (ms),Avg Bandwidth (KB),Avg CPU Usage (%),Avg RAM Usage (%)
mlkem768,rsa3072,10.53,6.67,76.9,0.161
mlkem768,ecdsa_p384,10.37,5.78,81.67,0.162
hqc192,rsa3072,41.09,17.77,61.12,0.161
hqc192,ecdsa_p384,40.96,16.93,62.86,0.162
