timestamp,latency_ms,bandwidth_kb,cpu_pct,ram_pct
1745528663,7.31,0.53,83.00,0.141
1745528663,6.28,0.53,100.00,0.141
1745528663,6.34,0.53,100.00,0.139
1745528663,6.43,0.53,100.00,0.142
1745528663,6.05,0.53,100.00,0.142
1745528663,6.40,0.53,100.00,0.139
1745528663,6.26,0.53,100.00,0.139
1745528663,5.89,0.53,80.00,0.141
1745528663,6.57,0.53,100.00,0.142
1745528663,6.04,0.53,100.00,0.141
1745528663,6.12,0.53,100.00,0.141
1745528663,6.18,0.53,100.00,0.142
1745528663,6.15,0.53,80.00,0.141
1745528663,6.24,0.53,100.00,0.140
1745528663,6.19,0.53,100.00,0.142
1745528663,6.37,0.53,100.00,0.141
1745528663,6.06,0.53,80.00,0.141
1745528663,6.13,0.53,100.00,0.141
1745528663,6.09,0.53,100.00,0.141
1745528663,6.19,0.53,100.00,0.142
1745528663,6.29,0.53,100.00,0.141
1745528663,6.24,0.53,100.00,0.142
1745528663,6.24,0.53,100.00,0.143
1745528663,6.46,0.53,100.00,0.141
1745528663,6.15,0.53,100.00,0.142
1745528663,6.31,0.53,100.00,0.141
1745528663,6.40,0.53,100.00,0.143
1745528663,6.18,0.53,100.00,0.141
1745528663,6.20,0.53,100.00,0.141
1745528663,6.21,0.53,100.00,0.142
1745528663,6.21,0.53,100.00,0.143
1745528663,6.31,0.53,100.00,0.142
1745528663,6.06,0.53,100.00,0.141
1745528663,6.08,0.53,100.00,0.140
1745528663,6.27,0.53,100.00,0.140
1745528663,6.08,0.53,100.00,0.142
1745528663,6.24,0.53,100.00,0.142
1745528663,6.18,0.53,100.00,0.142
1745528663,6.09,0.53,100.00,0.140
1745528663,6.14,0.53,100.00,0.139
1745528663,6.21,0.53,100.00,0.141
1745528663,6.07,0.53,100.00,0.142
1745528663,6.20,0.53,100.00,0.141
1745528663,6.20,0.53,100.00,0.142
1745528663,6.08,0.53,100.00,0.142
1745528663,6.21,0.53,100.00,0.141
1745528663,6.19,0.53,100.00,0.139
1745528663,6.17,0.53,100.00,0.141
1745528663,6.29,0.53,100.00,0.141
1745528663,6.13,0.53,100.00,0.141
1745528663,6.10,0.53,80.00,0.142
1745528663,6.11,0.53,100.00,0.140
1745528663,6.11,0.53,100.00,0.140
1745528663,6.07,0.53,100.00,0.140
1745528663,6.32,0.53,100.00,0.143
1745528663,5.97,0.53,80.00,0.139
1745528663,6.00,0.53,80.00,0.140
1745528663,6.43,0.53,100.00,0.141
1745528663,6.02,0.53,100.00,0.141
1745528663,6.25,0.53,100.00,0.140
1745528663,6.09,0.53,100.00,0.142
1745528663,6.02,0.53,80.00,0.142
1745528663,7.19,0.53,100.00,0.141
1745528663,6.09,0.53,100.00,0.142
1745528663,6.57,0.53,100.00,0.143
1745528663,6.37,0.53,100.00,0.141
1745528663,6.26,0.53,100.00,0.140
1745528663,6.30,0.53,100.00,0.141
1745528663,6.08,0.53,100.00,0.141
1745528663,6.43,0.53,100.00,0.141
1745528663,6.16,0.53,100.00,0.142
1745528663,6.01,0.53,100.00,0.141
1745528663,6.03,0.53,100.00,0.141
1745528663,6.16,0.53,100.00,0.142
1745528663,6.28,0.53,100.00,0.141
1745528663,6.14,0.53,100.00,0.142
1745528663,6.19,0.53,100.00,0.141
1745528663,6.12,0.53,100.00,0.141
1745528663,6.02,0.53,80.00,0.140
1745528663,6.27,0.53,100.00,0.141
1745528663,6.11,0.53,100.00,0.141
1745528663,6.10,0.53,80.00,0.142
1745528663,6.31,0.53,100.00,0.140
1745528663,6.08,0.53,100.00,0.142
1745528663,6.44,0.53,100.00,0.140
1745528663,6.14,0.53,100.00,0.143
1745528663,6.24,0.53,100.00,0.143
1745528664,6.21,0.53,80.00,0.140
1745528664,6.00,0.53,80.00,0.142
1745528664,6.91,0.53,83.00,0.142
1745528664,6.11,0.53,80.00,0.143
1745528664,6.19,0.53,100.00,0.139
1745528664,6.09,0.53,100.00,0.140
1745528664,6.14,0.53,100.00,0.140
1745528664,6.53,0.53,100.00,0.140
1745528664,6.07,0.53,100.00,0.142
1745528664,6.30,0.53,100.00,0.142
1745528664,6.10,0.53,100.00,0.139
1745528664,6.04,0.53,100.00,0.141
1745528664,6.27,0.53,100.00,0.141
