KEM,DS,Avg Latency (ms),Avg Bandwidth (KB),Avg CPU Usage (%),Avg RAM Usage (%)
ffdhe3072,rsa3072,12.51,4.77,71.12,0.152
ffdhe3072,ecdsa_p384,12.29,3.92,73.98,0.152
secp384r1,rsa3072,13.2,4.21,68.45,0.152
secp384r1,ecdsa_p384,13.01,3.36,75.72,0.153
