DNSSEC,KEM,DS,Avg Latency (ms),Avg Bandwidth (KB),Avg CPU Usage (%),Avg RAM Usage (%)
rsa2048sha256,mlkem512,mldsa44,9.01,11.25,90.94,0.167
ecdsap256sha256,mlkem512,falcon512,9.06,7.06,87.39,0.166
ed25519,mlkem512,sphincssha2128fsimple,16.46,38.78,51.92,0.166
