KEM,DS,Avg Latency (ms),Avg Bandwidth (KB),Avg CPU Usage (%),Avg RAM Usage (%)
mlkem512,rsa2048,9.41,5.6,85.73,0.162
mlkem512,ecdsa_p256,8.87,5,93.37,0.163
mlkem512,ed25519,8.84,4.88,94.82,0.161
hqc128,rsa2048,19.49,10.57,70.58,0.161
hqc128,ecdsa_p256,19.06,10.04,71.74,0.163
