KEM,DS,Avg Latency (ms),Avg Bandwidth (KB),Avg CPU Usage (%),Avg RAM Usage (%)
ffdhe2048,mldsa44,9.61,9.51,85.92,0.161
ffdhe2048,falcon512,9.73,5.51,85.6,0.159
ffdhe2048,sphincssha2128fsimple,17.16,37.19,50.45,0.158
secp256r1,mldsa44,8.91,9.14,91.41,0.163
x25519,falcon512,8.97,5.08,89.82,0.158
