KEM,DS,Avg Latency (ms),Avg Bandwidth (KB),Avg CPU Usage (%),Avg RAM Usage (%)
mlkem768,mldsa65,9.02,13.95,90.55,0.162
mlkem768,sphincssha2192fsimple,21.67,76.06,40.03,0.163
hqc192,mldsa65,39.79,25.13,63.54,0.167
hqc192,sphincssha2192fsimple,51.99,87.07,50.06,0.165
